loc_rowid,pl_name,hostname,default_flag,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_radj,pl_massj,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_lum,sy_dist
5661,KMT-2022-BLG-0371L b,KMT-2022-BLG-0371L,1,Microlensing,2023,,3.020000,,0.26000,,,,,0.63,,7140.0000000
5662,KMT-2022-BLG-0440L b,KMT-2022-BLG-0440L,1,Microlensing,2023,,1.900000,,0.04845,,,,,0.53,,3500.0000000
5664,KMT-2022-BLG-1013L b,KMT-2022-BLG-1013L,1,Microlensing,2023,,1.380000,,0.31000,,,,,0.18,,7710.0000000
5665,KOI-12 b,KOI-12,1,Transit,2015,17.85518200,0.154000,1.230,1.10000,,,,1.40,1.50,,399.3980000
5688,KOI-1257 b,KOI-1257,1,Transit,2014,86.64766100,0.382000,0.940,1.45000,511,G5 V,5520.00,1.13,0.99,,
5693,KOI-13 b,KOI-13,1,Transit,2011,1.76358800,0.036410,1.512,9.28000,2550,,7650.00,1.74,1.72,,519.0960000
5710,KOI-142 b,KOI-142,1,Transit,2013,10.91647000,,0.307,0.03000,,,5466.00,0.90,0.99,,376.8630000
5717,KOI-142 c,KOI-142,1,Transit,2013,22.26492000,,,0.67400,,,5466.00,0.90,0.99,,376.8630000
5719,KOI-1599.01,KOI-1599,1,Transit,2019,20.44150000,0.147280,0.170,0.01447,,,,0.97,1.02,,1131.6400000
5732,KOI-1599.02,KOI-1599,1,Transit,2019,13.60880000,0.112293,0.170,0.02832,,,,0.97,1.02,,1131.6400000
5735,KOI-1783.01,KOI-1783,1,Transit,2020,134.46280000,,0.790,0.22339,,,5922.00,1.14,1.08,,865.7300000
5746,KOI-1783.02,KOI-1783,1,Transit,2020,284.21500000,,0.485,0.04720,,,5922.00,1.14,1.08,,865.7300000
5753,KOI-1831 d,Kepler-324,1,Transit,2021,34.16900000,,0.101,0.00702,475,,5233.00,0.83,0.90,,501.5740000
5758,KOI-1833 d,Kepler-968,1,Transit,2021,7.68500000,,0.230,0.03467,613,,4413.00,0.67,0.68,,290.3240000
5769,KOI-217 b,KOI-217,1,Transit,2010,3.90512000,0.047700,1.110,,,,5545.00,0.86,0.95,,914.6990000
5782,KOI-3503 b,KOI-3503,1,Transit,2021,21.18500000,,0.106,0.02895,785,,6001.00,1.25,0.86,,887.0640000
5783,KOI-3503 c,KOI-3503,1,Transit,2021,31.82800000,,0.108,0.03260,686,,6001.00,1.25,0.86,,887.0640000
5788,KOI-351 b,KOI-351,1,Transit,2013,7.00815100,0.074000,0.117,,,,6080.00,1.20,1.20,,848.2540000
5797,KOI-351 c,KOI-351,1,Transit,2013,8.71937500,0.089000,0.106,,,,6080.00,1.20,1.20,,848.2540000
5810,KOI-351 d,KOI-351,1,Transit,2013,59.73667000,0.320000,0.256,,,,6080.00,1.20,1.20,,848.2540000
5812,KOI-351 e,KOI-351,1,Transit,2013,91.93913000,0.420000,0.237,,,,6080.00,1.20,1.20,,848.2540000
5824,KOI-351 f,KOI-351,1,Transit,2013,124.91440000,0.480000,0.257,,,,6080.00,1.20,1.20,,848.2540000
5831,KOI-351 g,KOI-351,1,Transit,2013,210.60697000,0.710000,0.723,,,,6080.00,1.20,1.20,,848.2540000
5842,KOI-351 h,KOI-351,1,Transit,2013,331.60059000,1.010000,1.008,,,,6080.00,1.20,1.20,,848.2540000
5854,KOI-3680 b,KOI-3680,1,Transit,2018,141.24167100,0.534000,0.990,1.93000,347,,5830.00,0.96,1.01,,921.9860000
5858,KOI-4777.01,KOI-4777,1,Transit,2014,0.41200000,0.008000,0.045,0.31212,1180,,3515.00,0.40,0.41,,172.2450000
5860,KOI-55 b,KOI-55,1,Orbital Brightness Modulation,2011,0.24010400,0.006000,0.068,0.00140,,B,27730.00,0.20,0.50,1.360,1231.0200000
5861,KOI-55 c,KOI-55,1,Orbital Brightness Modulation,2011,0.34288700,0.007600,0.077,0.00210,,B,27730.00,0.20,0.50,1.360,1231.0200000
5865,KOI-7368 b,KOI-7368,1,Transit,2022,6.84303440,,0.198,,,,5241.00,0.87,0.88,,264.9950000
5867,KOI-7913 b,KOI-7913 A,1,Transit,2022,24.27855300,,0.209,,,K6 V,4324.00,0.79,0.76,,271.2770000
